timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packet_length,flow_duration,packet_count,byte_count,attack_type,label
2026-05-21 15:59:11,192.168.1.197,10.0.0.154,22,53,TCP,729,1.8182849759048987,4,2916,Benign,0
2026-05-21 16:39:48,192.168.1.154,10.0.0.131,53,123,UDP,465,2.26378455841491,42,19530,Benign,0
2026-05-21 15:26:32,192.168.1.226,10.0.0.111,53,80,TCP,903,9.311722060259244,42,37926,Benign,0
2026-05-21 16:28:29,192.168.1.10,10.0.0.112,22,53,TCP,1007,7.411249637453914,31,31217,Benign,0
2026-05-21 15:10:37,14.155.116.37,192.168.1.100,53,80,UDP,609,1.2540286459107597,1034,629706,DDoS,1
2026-05-21 16:23:10,192.168.1.92,10.0.0.83,22,80,TCP,1120,5.333299514369283,24,26880,Benign,0
2026-05-21 14:45:13,2.92.189.59,192.168.1.100,443,80,TCP,1209,1.2793654179468439,269,325221,DDoS,1
2026-05-21 16:00:38,198.51.100.78,192.168.1.50,50250,3389,TCP,84,6.179437551982243,30,2520,Brute Force,1
2026-05-21 16:49:28,192.168.1.87,10.0.0.206,22,123,TCP,517,8.778483873869481,46,23782,Benign,0
2026-05-21 16:35:33,203.0.113.20,192.168.1.100,31963,451,TCP,44,0.045428627393421,1,44,Port Scan,1
2026-05-21 15:12:22,203.0.113.45,192.168.1.100,38127,523,TCP,48,0.015953289418667905,1,48,Port Scan,1
2026-05-21 14:34:02,47.3.130.182,192.168.1.100,22,443,TCP,926,0.83954536468336,221,204646,DDoS,1
2026-05-21 16:48:46,203.0.113.33,192.168.1.100,56397,445,TCP,44,0.0059290330933191695,1,44,Port Scan,1
2026-05-21 15:39:48,192.168.1.142,10.0.0.221,53,80,UDP,483,8.03021340547944,10,4830,Benign,0
2026-05-21 14:49:20,192.168.1.96,10.0.0.132,61118,53,TCP,87,5.804368685017635,38,3306,Benign,0
2026-05-21 15:00:46,192.168.1.168,10.0.0.171,443,443,UDP,217,8.624386883587977,23,4991,Benign,0
2026-05-21 15:55:58,192.168.1.193,10.0.0.76,53,443,TCP,655,2.667616192908023,8,5240,Benign,0
2026-05-21 14:17:33,192.168.1.172,10.0.0.45,53,53,TCP,1275,7.64248613040055,30,38250,Benign,0
2026-05-21 15:23:13,203.0.113.44,192.168.1.100,41632,299,TCP,40,0.03129897425926874,2,80,Port Scan,1
2026-05-21 15:42:09,192.168.1.87,10.0.0.104,80,443,UDP,884,7.581725034177831,25,22100,Benign,0
2026-05-21 14:28:55,192.168.1.156,10.0.0.181,80,443,TCP,781,2.058765025619288,37,28897,Benign,0
2026-05-21 15:07:17,192.168.1.164,10.0.0.111,22,123,TCP,286,4.617922350812077,24,6864,Benign,0
2026-05-21 14:24:51,192.168.1.93,10.0.0.218,53,443,TCP,1289,9.227722889704129,27,34803,Benign,0
2026-05-21 14:49:29,192.168.1.102,10.0.0.72,80,123,TCP,1100,7.93246567555727,43,47300,Benign,0
2026-05-21 15:03:38,192.168.1.118,10.0.0.17,443,443,TCP,178,4.963238292383968,6,1068,Benign,0
2026-05-21 14:57:21,192.168.1.179,10.0.0.57,53,123,TCP,118,1.1452025586047903,39,4602,Benign,0
2026-05-21 15:40:09,192.168.1.229,10.0.0.95,22,123,TCP,1199,3.0467936535828914,5,5995,Benign,0
2026-05-21 16:33:16,192.168.1.18,10.0.0.169,22,123,TCP,215,3.384113526765517,40,8600,Benign,0
2026-05-21 14:35:36,87.110.56.2,192.168.1.100,443,443,UDP,1016,0.7611674582133937,338,343408,DDoS,1
2026-05-21 14:13:00,192.168.1.215,10.0.0.143,60365,443,TCP,524,6.5060046892654375,39,20436,Benign,0
2026-05-21 15:04:58,198.51.100.84,192.168.1.50,56503,22,TCP,134,26.138266218772234,76,10184,Brute Force,1
2026-05-21 15:00:04,192.168.1.172,10.0.0.98,49934,53,TCP,727,8.006634622810296,48,34896,Benign,0
2026-05-21 16:02:55,192.168.1.241,10.0.0.19,53853,123,TCP,154,2.525354074709868,36,5544,Benign,0
2026-05-21 16:27:37,96.77.57.175,192.168.1.100,53783,80,TCP,880,0.5498312072127136,1069,940720,DDoS,1
2026-05-21 15:23:23,198.51.100.96,192.168.1.50,41666,22,TCP,117,33.43902170939403,30,3510,Brute Force,1
2026-05-21 15:46:59,192.168.1.115,10.0.0.40,53,123,TCP,975,1.7138076038893402,10,9750,Benign,0
2026-05-21 15:50:57,198.51.100.43,192.168.1.50,44012,22,TCP,80,44.715869021112034,76,6080,Brute Force,1
2026-05-21 16:16:54,192.168.1.30,10.0.0.185,53,443,TCP,1074,8.614428957282104,26,27924,Benign,0
2026-05-21 14:28:48,192.168.1.144,10.0.0.164,22,80,UDP,1480,4.98140573625854,5,7400,Benign,0
2026-05-21 16:46:27,198.51.100.13,192.168.1.50,51499,3389,TCP,165,34.26612090563861,71,11715,Brute Force,1
2026-05-21 16:12:30,192.168.1.83,10.0.0.99,64624,53,TCP,376,9.948802880340159,18,6768,Benign,0
2026-05-21 15:51:58,63.25.247.157,192.168.1.100,57989,80,UDP,1136,1.4645695167676478,737,837232,DDoS,1
2026-05-21 15:50:00,185.190.140.1,192.168.1.12,58369,443,TCP,1388,15.703150239892544,140,194320,Infiltration,1
2026-05-21 15:49:37,185.190.140.19,192.168.1.12,57717,80,TCP,1208,234.0463216347574,150,181200,Infiltration,1
2026-05-21 14:38:29,192.168.1.192,10.0.0.214,443,443,UDP,266,4.248376017649464,42,11172,Benign,0
2026-05-21 16:23:35,192.168.1.125,10.0.0.157,22,80,TCP,1245,2.758924228314886,6,7470,Benign,0
2026-05-21 15:29:26,149.81.200.223,192.168.1.100,22,80,TCP,680,1.255748013669252,350,238000,DDoS,1
2026-05-21 16:01:00,192.168.1.107,10.0.0.12,60458,53,TCP,549,1.2130635188482901,13,7137,Benign,0
2026-05-21 15:53:06,192.168.1.243,10.0.0.215,22,443,TCP,1291,2.9320165437808097,9,11619,Benign,0
2026-05-21 15:05:59,57.149.223.182,192.168.1.100,63064,80,TCP,740,0.6996935020312951,1093,808820,DDoS,1
2026-05-21 16:15:44,192.168.1.58,10.0.0.154,443,53,TCP,231,3.124038524254267,36,8316,Benign,0
2026-05-21 14:48:35,203.0.113.36,192.168.1.100,54415,396,TCP,45,0.010969199475932157,2,90,Port Scan,1
2026-05-21 14:18:54,198.51.100.59,192.168.1.50,59008,3389,TCP,82,40.15351307642516,24,1968,Brute Force,1
2026-05-21 15:11:58,192.168.1.158,10.0.0.160,22,53,UDP,1165,9.643682682882433,42,48930,Benign,0
2026-05-21 14:38:34,198.51.100.51,192.168.1.50,53487,22,TCP,97,39.34933308712308,25,2425,Brute Force,1
2026-05-21 15:34:50,198.51.100.79,192.168.1.50,57559,3389,TCP,139,7.44940516389646,52,7228,Brute Force,1
2026-05-21 14:24:41,192.168.1.181,10.0.0.111,80,80,UDP,855,4.29781568762158,41,35055,Benign,0
2026-05-21 14:16:12,192.168.1.84,10.0.0.155,59177,443,TCP,1008,3.8565619660257124,40,40320,Benign,0
2026-05-21 15:57:19,192.168.1.111,10.0.0.128,443,123,UDP,183,0.9920691010935105,23,4209,Benign,0
2026-05-21 14:56:09,192.168.1.130,10.0.0.72,22,80,TCP,1046,1.0414677804230283,33,34518,Benign,0
2026-05-21 15:21:33,198.51.100.20,192.168.1.50,53196,3389,TCP,93,33.470269287794025,40,3720,Brute Force,1
2026-05-21 14:29:07,192.168.1.133,10.0.0.191,53,123,TCP,193,7.881822971408555,38,7334,Benign,0
2026-05-21 16:44:31,47.79.208.155,192.168.1.100,53,80,UDP,731,0.7441394918011636,373,272663,DDoS,1
2026-05-21 15:50:12,192.168.1.34,10.0.0.147,51652,123,UDP,1134,5.514607710012064,49,55566,Benign,0
2026-05-21 15:53:48,203.0.113.5,192.168.1.100,59366,739,TCP,54,0.017651223037139677,2,108,Port Scan,1
2026-05-21 14:49:22,91.242.112.10,192.168.1.100,53,443,TCP,687,0.37342823432397604,852,585324,DDoS,1
2026-05-21 16:40:48,192.168.1.198,10.0.0.220,443,443,TCP,1059,3.095966079463129,16,16944,Benign,0
2026-05-21 16:07:41,198.51.100.61,192.168.1.50,51572,22,TCP,93,38.32388191601329,45,4185,Brute Force,1
2026-05-21 14:48:10,203.0.113.20,192.168.1.100,31971,100,TCP,63,0.017137533185398134,2,126,Port Scan,1
2026-05-21 16:47:52,203.0.113.30,192.168.1.100,31548,783,TCP,41,0.009492907497837193,2,82,Port Scan,1
2026-05-21 14:32:08,203.0.113.18,192.168.1.100,45993,1012,TCP,51,0.026120813005624105,1,51,Port Scan,1
2026-05-21 16:26:43,192.168.1.11,10.0.0.210,22,53,TCP,179,0.6931338282050673,49,8771,Benign,0
2026-05-21 14:31:42,192.168.1.139,10.0.0.172,53932,53,UDP,1047,8.646767116446416,4,4188,Benign,0
2026-05-21 14:36:35,198.51.100.47,192.168.1.50,42600,22,TCP,115,11.055092806029768,68,7820,Brute Force,1
2026-05-21 15:12:46,192.168.1.122,10.0.0.29,80,80,TCP,476,6.448642854880354,10,4760,Benign,0
2026-05-21 14:13:41,74.51.169.249,192.168.1.100,22,443,UDP,723,0.46585380732338266,749,541527,DDoS,1
